Percentage served,Time in ms
0,459.154
1,459.373
2,459.442
3,459.676
4,459.739
5,459.851
6,459.951
7,460.009
8,460.105
9,460.178
10,460.263
11,460.369
12,460.497
13,460.599
14,460.666
15,460.793
16,460.892
17,461.340
18,461.452
19,461.500
20,461.755
21,461.908
22,462.081
23,462.251
24,462.323
25,462.463
26,462.565
27,462.715
28,462.852
29,462.872
30,462.934
31,462.943
32,463.145
33,463.204
34,463.302
35,463.353
36,463.427
37,463.577
38,463.621
39,463.677
40,463.777
41,463.811
42,463.894
43,463.924
44,464.254
45,464.371
46,464.775
47,465.106
48,466.369
49,467.356
50,469.215
51,488.353
52,488.435
53,488.512
54,488.560
55,488.608
56,488.639
57,488.678
58,488.730
59,488.788
60,488.871
61,488.886
62,488.905
63,488.916
64,488.943
65,488.985
66,489.002
67,489.063
68,489.109
69,489.176
70,489.241
71,489.290
72,489.310
73,489.351
74,489.416
75,489.449
76,489.469
77,489.530
78,489.671
79,489.849
80,489.945
81,490.011
82,490.046
83,490.071
84,490.113
85,490.202
86,490.346
87,490.477
88,490.580
89,490.630
90,490.809
91,490.862
92,491.023
93,491.051
94,491.188
95,491.406
96,491.661
97,491.815
98,492.349
99,492.619
100,495.498
