Percentage served,Time in ms
0,1252.556
1,1252.673
2,1252.850
3,1252.883
4,1253.051
5,1253.463
6,1253.687
7,1253.781
8,1253.934
9,1254.000
10,1254.325
11,1254.325
12,1254.377
13,1254.397
14,1254.417
15,1254.440
16,1254.495
17,1254.519
18,1254.623
19,1254.677
20,1254.684
21,1254.735
22,1254.797
23,1254.832
24,1254.834
25,1254.997
26,1255.044
27,1255.241
28,1255.456
29,1255.540
30,1255.588
31,1255.588
32,1255.606
33,1255.713
34,1255.764
35,1255.823
36,1255.960
37,1256.024
38,1256.108
39,1256.215
40,1256.223
41,1256.308
42,1256.621
43,1256.660
44,1256.678
45,1256.757
46,1257.079
47,1257.120
48,1257.451
49,1257.626
50,1257.644
51,1257.644
52,1257.876
53,1257.902
54,1257.968
55,1258.022
56,1258.105
57,1258.156
58,1258.189
59,1258.311
60,1258.612
61,1258.757
62,1259.092
63,1259.484
64,1259.649
65,1259.663
66,1260.026
67,1260.191
68,1260.381
69,1260.466
70,1260.532
71,1260.532
72,1260.779
73,1261.086
74,1261.258
75,1261.470
76,1261.738
77,1262.110
78,1262.248
79,1263.224
80,1263.445
81,1266.168
82,1293.930
83,1294.778
84,1296.656
85,1296.852
86,1297.183
87,1298.031
88,1298.145
89,1298.318
90,1298.492
91,1298.492
92,1300.177
93,1301.204
94,1302.155
95,1324.527
96,1325.818
97,1326.824
98,1329.736
99,1332.761
100,1332.761
