Percentage served,Time in ms
0,460.916
1,462.737
2,463.371
3,463.521
4,465.615
5,485.203
6,488.291
7,488.575
8,488.821
9,489.425
10,489.912
11,489.971
12,491.005
13,496.070
14,501.336
15,508.901
16,509.467
17,512.955
18,546.356
19,569.606
20,572.040
21,572.423
22,572.657
23,572.739
24,572.813
25,573.125
26,573.202
27,573.575
28,573.630
29,573.997
30,574.262
31,574.617
32,574.924
33,575.086
34,575.249
35,575.645
36,575.778
37,575.809
38,575.940
39,575.996
40,576.093
41,576.299
42,576.738
43,576.788
44,577.148
45,577.354
46,577.439
47,577.717
48,577.751
49,577.998
50,578.077
51,578.174
52,578.222
53,578.348
54,578.468
55,578.578
56,578.650
57,578.790
58,578.971
59,579.395
60,579.536
61,579.601
62,579.637
63,579.730
64,579.772
65,579.843
66,580.512
67,580.744
68,580.885
69,581.036
70,581.455
71,581.527
72,581.797
73,582.031
74,582.147
75,582.305
76,582.447
77,582.993
78,583.158
79,583.257
80,583.649
81,584.203
82,584.233
83,584.320
84,584.808
85,584.995
86,585.039
87,585.685
88,586.214
89,586.405
90,586.763
91,587.037
92,587.830
93,588.666
94,589.079
95,589.906
96,590.494
97,591.878
98,592.986
99,594.200
100,599.259
