Percentage served,Time in ms
0,1252.028
1,1253.346
2,1253.550
3,1253.645
4,1253.710
5,1253.731
6,1253.757
7,1253.873
8,1253.965
9,1253.965
10,1254.417
11,1254.449
12,1254.523
13,1254.624
14,1254.771
15,1254.773
16,1254.817
17,1254.899
18,1254.967
19,1254.973
20,1255.041
21,1255.041
22,1255.800
23,1255.866
24,1256.361
25,1256.566
26,1256.566
27,1256.884
28,1256.998
29,1257.344
30,1257.389
31,1257.497
32,1258.202
33,1258.308
34,1258.440
35,1258.706
36,1258.889
37,1258.895
38,1259.189
39,1259.377
40,1259.607
41,1259.655
42,1259.655
43,1260.057
44,1260.279
45,1260.300
46,1260.610
47,1260.738
48,1261.745
49,1261.934
50,1262.153
51,1262.410
52,1284.391
53,1290.313
54,1292.108
55,1293.135
56,1293.365
57,1293.392
58,1293.616
59,1293.616
60,1293.807
61,1293.939
62,1294.832
63,1295.225
64,1295.749
65,1295.817
66,1296.399
67,1296.749
68,1297.586
69,1297.889
70,1298.748
71,1299.370
72,1299.549
73,1299.844
74,1299.929
75,1300.525
76,1300.525
77,1300.891
78,1301.525
79,1301.770
80,1302.592
81,1306.959
82,1311.197
83,1319.169
84,1322.273
85,1322.435
86,1323.088
87,1323.738
88,1325.014
89,1334.010
90,1337.879
91,1338.022
92,1338.022
93,1338.406
94,1343.833
95,1345.000
96,1345.227
97,1349.283
98,1401.701
99,1639.134
100,1639.134
