Percentage served,Time in ms
0,1200.011
1,1200.419
2,1203.579
3,1266.695
4,1267.671
5,1267.733
6,1267.819
7,1268.171
8,1268.275
9,1268.275
10,1268.312
11,1268.389
12,1268.562
13,1268.765
14,1268.899
15,1268.925
16,1268.929
17,1269.122
18,1269.154
19,1269.373
20,1269.588
21,1269.620
22,1269.774
23,1269.840
24,1269.864
25,1270.012
26,1270.012
27,1270.032
28,1270.140
29,1270.256
30,1270.430
31,1270.441
32,1270.678
33,1270.718
34,1270.801
35,1270.905
36,1270.934
37,1270.962
38,1271.003
39,1271.235
40,1271.285
41,1271.504
42,1271.504
43,1271.610
44,1271.826
45,1272.013
46,1272.092
47,1272.377
48,1272.530
49,1272.599
50,1272.645
51,1272.773
52,1272.845
53,1272.976
54,1273.022
55,1273.027
56,1273.631
57,1273.638
58,1274.136
59,1274.136
60,1274.207
61,1274.334
62,1274.364
63,1274.998
64,1275.019
65,1275.309
66,1275.378
67,1275.381
68,1275.818
69,1276.661
70,1276.937
71,1277.527
72,1279.040
73,1280.300
74,1282.820
75,1309.688
76,1309.688
77,1309.926
78,1310.203
79,1310.213
80,1310.415
81,1310.842
82,1311.115
83,1312.166
84,1312.400
85,1312.472
86,1312.941
87,1313.275
88,1313.278
89,1314.007
90,1314.068
91,1314.136
92,1314.136
93,1315.378
94,1317.244
95,1317.296
96,1317.813
97,1338.110
98,1338.663
99,1341.856
100,1341.856
