Percentage served,Time in ms
0,293.691
1,294.074
2,294.239
3,294.394
4,294.472
5,294.524
6,294.565
7,294.597
8,294.638
9,294.678
10,294.735
11,294.776
12,294.809
13,294.825
14,294.852
15,294.895
16,294.905
17,294.924
18,294.940
19,294.960
20,294.969
21,295.021
22,295.037
23,295.079
24,295.115
25,295.131
26,295.186
27,295.229
28,295.247
29,295.261
30,295.301
31,295.351
32,295.367
33,295.392
34,295.405
35,295.452
36,295.482
37,295.490
38,295.536
39,295.570
40,295.628
41,295.649
42,295.686
43,295.715
44,295.741
45,295.798
46,295.829
47,295.865
48,295.899
49,295.927
50,295.947
51,295.978
52,295.997
53,296.033
54,296.134
55,296.151
56,296.171
57,296.219
58,296.252
59,296.289
60,296.356
61,296.405
62,296.434
63,296.543
64,296.650
65,296.711
66,296.728
67,296.812
68,296.910
69,296.937
70,297.019
71,297.075
72,297.145
73,297.194
74,297.244
75,297.340
76,297.443
77,297.511
78,297.966
79,298.041
80,298.183
81,298.428
82,298.827
83,298.944
84,299.108
85,299.744
86,299.999
87,300.856
88,301.111
89,301.672
90,302.082
91,302.406
92,302.672
93,303.319
94,304.755
95,305.039
96,305.222
97,305.932
98,306.791
99,308.641
100,345.494
