Percentage served,Time in ms
0,282.962
1,283.362
2,283.511
3,283.563
4,283.607
5,283.652
6,283.688
7,283.715
8,283.810
9,283.863
10,283.891
11,283.929
12,283.981
13,284.004
14,284.048
15,284.098
16,284.129
17,284.157
18,284.221
19,284.254
20,284.339
21,284.393
22,284.510
23,284.579
24,284.637
25,284.697
26,284.755
27,284.844
28,284.889
29,285.048
30,285.116
31,285.199
32,285.281
33,285.336
34,285.557
35,285.863
36,285.978
37,286.314
38,286.532
39,286.665
40,286.765
41,286.968
42,287.155
43,287.289
44,287.451
45,287.650
46,287.899
47,288.085
48,288.369
49,288.788
50,290.234
51,291.815
52,293.807
53,295.781
54,297.274
55,298.406
56,300.694
57,301.532
58,304.655
59,307.305
60,314.353
61,320.129
62,322.053
63,323.790
64,324.276
65,324.488
66,324.816
67,325.191
68,325.644
69,325.854
70,326.105
71,326.194
72,326.383
73,326.558
74,326.682
75,326.824
76,327.000
77,327.129
78,327.311
79,327.546
80,327.681
81,327.758
82,327.862
83,328.026
84,328.270
85,328.502
86,328.835
87,329.374
88,329.770
89,330.102
90,331.422
91,366.180
92,369.023
93,371.033
94,372.941
95,374.944
96,375.197
97,377.707
98,379.289
99,385.474
100,394.320
