Percentage served,Time in ms
0,1255.319
1,1255.674
2,1256.255
3,1256.700
4,1256.861
5,1256.941
6,1256.994
7,1257.042
8,1257.260
9,1257.260
10,1257.412
11,1257.540
12,1258.046
13,1258.252
14,1258.384
15,1258.730
16,1258.811
17,1258.873
18,1258.885
19,1259.009
20,1259.076
21,1259.149
22,1259.221
23,1259.231
24,1259.736
25,1259.755
26,1259.755
27,1259.914
28,1260.207
29,1260.934
30,1261.374
31,1261.378
32,1261.504
33,1261.640
34,1261.970
35,1262.140
36,1262.175
37,1262.265
38,1262.739
39,1263.189
40,1263.472
41,1263.570
42,1263.570
43,1263.737
44,1264.995
45,1265.168
46,1265.303
47,1265.799
48,1266.328
49,1267.076
50,1267.820
51,1269.268
52,1281.220
53,1286.571
54,1296.480
55,1298.521
56,1299.053
57,1300.035
58,1300.303
59,1300.303
60,1300.383
61,1300.739
62,1300.742
63,1300.826
64,1300.986
65,1301.430
66,1301.463
67,1301.596
68,1301.746
69,1301.827
70,1301.990
71,1302.879
72,1303.496
73,1303.788
74,1304.182
75,1304.217
76,1304.217
77,1304.377
78,1305.598
79,1305.727
80,1307.000
81,1307.440
82,1307.593
83,1308.226
84,1309.728
85,1314.990
86,1315.184
87,1326.314
88,1328.483
89,1329.777
90,1331.312
91,1331.705
92,1331.705
93,1332.815
94,1333.332
95,1346.745
96,1348.684
97,1353.024
98,1353.762
99,1398.242
100,1398.242
