Percentage served,Time in ms
0,422.949
1,423.199
2,423.286
3,423.466
4,423.534
5,423.566
6,423.595
7,423.633
8,423.654
9,423.671
10,423.736
11,423.768
12,423.795
13,423.852
14,423.872
15,423.943
16,423.954
17,424.004
18,424.038
19,424.069
20,424.100
21,424.113
22,424.137
23,424.184
24,424.219
25,424.252
26,424.287
27,424.293
28,424.332
29,424.349
30,424.378
31,424.398
32,424.417
33,424.446
34,424.451
35,424.457
36,424.462
37,424.483
38,424.510
39,424.518
40,424.530
41,424.562
42,424.603
43,424.629
44,424.641
45,424.652
46,424.698
47,424.718
48,424.721
49,424.731
50,424.736
51,424.789
52,424.811
53,424.847
54,424.878
55,424.950
56,425.011
57,425.055
58,425.086
59,425.120
60,425.132
61,425.152
62,425.163
63,425.219
64,425.267
65,425.286
66,425.311
67,425.325
68,425.340
69,425.388
70,425.427
71,425.455
72,425.515
73,425.609
74,425.653
75,425.762
76,425.773
77,425.783
78,425.827
79,425.935
80,426.025
81,426.054
82,426.107
83,426.208
84,426.252
85,426.303
86,426.364
87,426.383
88,426.419
89,426.452
90,426.596
91,426.657
92,426.734
93,426.861
94,427.017
95,427.153
96,427.305
97,427.918
98,428.542
99,431.641
100,468.642
