Percentage served,Time in ms
0,1256.302
1,1257.423
2,1257.446
3,1257.511
4,1257.780
5,1257.946
6,1258.026
7,1258.331
8,1258.361
9,1258.380
10,1258.425
11,1258.425
12,1258.479
13,1258.657
14,1258.739
15,1258.747
16,1258.759
17,1258.775
18,1258.857
19,1258.872
20,1258.898
21,1259.018
22,1259.033
23,1259.106
24,1259.214
25,1259.350
26,1259.363
27,1259.393
28,1259.419
29,1259.622
30,1259.908
31,1259.908
32,1260.027
33,1260.055
34,1260.120
35,1260.242
36,1260.372
37,1260.397
38,1260.516
39,1260.529
40,1260.576
41,1260.743
42,1260.755
43,1260.771
44,1260.785
45,1260.905
46,1260.929
47,1261.111
48,1261.123
49,1261.166
50,1261.195
51,1261.195
52,1261.238
53,1261.356
54,1261.395
55,1261.409
56,1261.437
57,1261.587
58,1261.812
59,1261.886
60,1261.972
61,1261.998
62,1261.998
63,1262.058
64,1262.115
65,1262.133
66,1262.341
67,1262.399
68,1262.399
69,1262.438
70,1262.522
71,1262.522
72,1262.794
73,1262.971
74,1263.180
75,1263.388
76,1263.389
77,1263.416
78,1264.035
79,1264.335
80,1264.379
81,1264.393
82,1264.468
83,1264.526
84,1264.794
85,1264.820
86,1264.868
87,1265.345
88,1265.469
89,1265.790
90,1266.324
91,1266.324
92,1267.101
93,1267.417
94,1267.432
95,1267.927
96,1268.223
97,1268.414
98,1268.611
99,1270.058
100,1270.058
