Percentage served,Time in ms
0,459.132
1,459.342
2,459.560
3,459.708
4,459.740
5,459.774
6,459.785
7,459.866
8,459.915
9,460.018
10,460.135
11,460.215
12,460.317
13,460.681
14,461.295
15,461.544
16,461.777
17,462.047
18,462.080
19,462.219
20,462.242
21,462.373
22,462.454
23,462.551
24,462.586
25,462.727
26,462.775
27,462.852
28,462.915
29,462.924
30,463.017
31,463.086
32,463.100
33,463.132
34,463.200
35,463.267
36,463.294
37,463.362
38,463.429
39,463.516
40,463.559
41,463.615
42,463.664
43,463.752
44,463.802
45,463.850
46,463.899
47,463.923
48,463.959
49,463.984
50,464.004
51,464.064
52,464.074
53,464.110
54,464.128
55,464.153
56,464.165
57,464.256
58,464.336
59,464.350
60,464.419
61,464.433
62,464.497
63,464.524
64,464.598
65,464.694
66,464.836
67,464.939
68,464.990
69,465.144
70,465.162
71,465.280
72,465.461
73,467.595
74,467.903
75,468.513
76,488.356
77,488.697
78,488.815
79,488.872
80,488.944
81,488.952
82,489.102
83,489.126
84,489.363
85,489.511
86,489.527
87,489.566
88,489.620
89,489.768
90,489.837
91,490.055
92,490.151
93,490.497
94,490.696
95,491.293
96,491.636
97,491.851
98,492.190
99,492.373
100,492.568
