Percentage served,Time in ms
0,1253.027
1,1253.144
2,1253.434
3,1253.818
4,1253.970
5,1254.002
6,1254.161
7,1254.240
8,1254.284
9,1254.491
10,1254.522
11,1254.522
12,1254.533
13,1254.656
14,1255.000
15,1255.054
16,1255.084
17,1255.304
18,1255.370
19,1255.392
20,1255.456
21,1255.480
22,1255.594
23,1255.627
24,1255.726
25,1255.876
26,1256.072
27,1256.154
28,1256.268
29,1256.467
30,1256.500
31,1256.500
32,1256.521
33,1256.637
34,1256.644
35,1256.732
36,1256.889
37,1256.928
38,1256.963
39,1257.180
40,1257.268
41,1257.299
42,1257.300
43,1257.440
44,1257.784
45,1257.917
46,1258.067
47,1258.159
48,1258.298
49,1258.303
50,1258.379
51,1258.379
52,1258.459
53,1258.677
54,1258.952
55,1258.984
56,1260.000
57,1260.202
58,1260.463
59,1260.555
60,1260.591
61,1260.677
62,1260.709
63,1260.915
64,1261.113
65,1261.667
66,1262.244
67,1262.495
68,1263.813
69,1264.510
70,1292.557
71,1292.557
72,1294.129
73,1295.207
74,1296.025
75,1296.246
76,1296.261
77,1296.856
78,1297.233
79,1297.446
80,1297.490
81,1297.658
82,1297.761
83,1299.183
84,1299.184
85,1300.410
86,1300.482
87,1300.671
88,1301.449
89,1301.906
90,1302.276
91,1302.276
92,1302.431
93,1303.127
94,1323.247
95,1323.848
96,1327.404
97,1329.899
98,1330.331
99,1332.793
100,1332.793
