Percentage served,Time in ms
0,279.862
1,280.199
2,280.319
3,280.346
4,280.388
5,280.415
6,280.429
7,280.457
8,280.481
9,280.509
10,280.560
11,280.575
12,280.616
13,280.623
14,280.643
15,280.659
16,280.680
17,280.704
18,280.716
19,280.736
20,280.742
21,280.762
22,280.785
23,280.797
24,280.811
25,280.834
26,280.854
27,280.861
28,280.880
29,280.898
30,280.910
31,280.952
32,280.973
33,280.992
34,281.001
35,281.016
36,281.025
37,281.043
38,281.052
39,281.072
40,281.089
41,281.116
42,281.135
43,281.145
44,281.154
45,281.170
46,281.191
47,281.211
48,281.229
49,281.262
50,281.278
51,281.282
52,281.320
53,281.331
54,281.373
55,281.398
56,281.419
57,281.438
58,281.462
59,281.468
60,281.492
61,281.508
62,281.527
63,281.539
64,281.590
65,281.607
66,281.619
67,281.649
68,281.671
69,281.683
70,281.723
71,281.755
72,281.785
73,281.806
74,281.819
75,281.860
76,281.898
77,281.926
78,281.937
79,281.954
80,281.983
81,281.997
82,282.038
83,282.069
84,282.134
85,282.163
86,282.219
87,282.250
88,282.324
89,282.379
90,282.449
91,282.551
92,282.622
93,282.724
94,282.752
95,282.963
96,283.106
97,283.934
98,284.813
99,286.929
100,289.292
