Percentage served,Time in ms
0,1253.045
1,1253.110
2,1253.481
3,1253.654
4,1253.845
5,1253.900
6,1254.118
7,1254.194
8,1254.203
9,1254.205
10,1254.696
11,1254.696
12,1254.699
13,1254.808
14,1254.835
15,1255.025
16,1255.046
17,1255.057
18,1255.207
19,1255.244
20,1255.391
21,1255.401
22,1255.487
23,1255.618
24,1255.719
25,1255.787
26,1256.076
27,1256.092
28,1256.126
29,1256.641
30,1256.646
31,1256.646
32,1256.710
33,1256.759
34,1256.886
35,1256.940
36,1257.042
37,1257.316
38,1257.645
39,1257.685
40,1258.134
41,1258.227
42,1258.421
43,1258.612
44,1258.717
45,1258.789
46,1259.745
47,1259.877
48,1260.366
49,1260.419
50,1260.669
51,1260.669
52,1261.002
53,1261.035
54,1261.703
55,1261.756
56,1261.831
57,1262.562
58,1263.687
59,1263.909
60,1263.989
61,1292.985
62,1293.465
63,1294.263
64,1294.821
65,1294.939
66,1294.974
67,1295.588
68,1295.932
69,1296.253
70,1296.867
71,1296.867
72,1297.214
73,1297.247
74,1297.548
75,1297.679
76,1297.905
77,1298.135
78,1298.268
79,1298.474
80,1298.583
81,1298.695
82,1299.118
83,1299.252
84,1300.491
85,1301.921
86,1301.953
87,1302.786
88,1302.820
89,1303.103
90,1303.552
91,1303.552
92,1303.925
93,1304.571
94,1308.314
95,1324.451
96,1325.368
97,1325.706
98,1325.937
99,1330.394
100,1330.394
