Percentage served,Time in ms
0,1252.920
1,1253.115
2,1253.131
3,1253.247
4,1253.380
5,1253.390
6,1253.619
7,1253.837
8,1254.014
9,1254.239
10,1254.243
11,1254.243
12,1254.244
13,1254.369
14,1254.405
15,1254.490
16,1254.695
17,1254.698
18,1254.775
19,1254.780
20,1254.887
21,1255.044
22,1255.207
23,1255.212
24,1255.346
25,1255.362
26,1255.377
27,1255.437
28,1255.445
29,1255.480
30,1255.481
31,1255.481
32,1255.489
33,1255.601
34,1255.642
35,1256.124
36,1256.128
37,1256.232
38,1256.254
39,1256.304
40,1256.317
41,1256.490
42,1256.711
43,1256.757
44,1256.968
45,1257.157
46,1257.213
47,1257.226
48,1257.290
49,1257.298
50,1257.375
51,1257.375
52,1257.380
53,1257.413
54,1257.503
55,1257.769
56,1258.005
57,1258.014
58,1259.085
59,1259.272
60,1259.374
61,1259.510
62,1259.876
63,1260.289
64,1260.649
65,1260.783
66,1261.142
67,1261.424
68,1261.499
69,1261.698
70,1262.712
71,1262.712
72,1263.381
73,1264.475
74,1292.956
75,1293.914
76,1293.944
77,1294.205
78,1295.890
79,1295.929
80,1296.857
81,1296.994
82,1297.362
83,1297.500
84,1297.720
85,1298.479
86,1298.749
87,1299.513
88,1299.554
89,1300.034
90,1300.203
91,1300.203
92,1300.789
93,1300.828
94,1301.276
95,1301.755
96,1302.926
97,1303.505
98,1303.926
99,1304.349
100,1304.349
