Percentage served,Time in ms
0,279.707
1,280.033
2,280.186
3,280.235
4,280.314
5,280.399
6,280.456
7,280.465
8,280.510
9,280.540
10,280.553
11,280.572
12,280.591
13,280.615
14,280.637
15,280.656
16,280.695
17,280.720
18,280.739
19,280.769
20,280.800
21,280.811
22,280.829
23,280.846
24,280.870
25,280.886
26,280.904
27,280.911
28,280.971
29,281.019
30,281.040
31,281.056
32,281.116
33,281.142
34,281.166
35,281.178
36,281.208
37,281.227
38,281.254
39,281.273
40,281.298
41,281.309
42,281.331
43,281.360
44,281.381
45,281.405
46,281.432
47,281.461
48,281.479
49,281.512
50,281.570
51,281.600
52,281.624
53,281.658
54,281.716
55,281.739
56,281.784
57,281.834
58,281.855
59,281.868
60,281.888
61,281.912
62,281.945
63,281.977
64,281.992
65,282.018
66,282.050
67,282.076
68,282.098
69,282.143
70,282.199
71,282.268
72,282.296
73,282.346
74,282.382
75,282.427
76,282.537
77,282.619
78,282.664
79,282.740
80,282.940
81,283.007
82,283.072
83,283.108
84,283.176
85,283.221
86,283.357
87,283.414
88,283.580
89,283.856
90,284.052
91,284.220
92,284.350
93,284.519
94,284.702
95,284.963
96,285.072
97,285.585
98,286.880
99,287.475
100,289.184
