Percentage served,Time in ms
0,472.540
1,474.173
2,474.835
3,475.144
4,475.466
5,475.606
6,475.962
7,476.064
8,476.179
9,476.318
10,476.380
11,476.671
12,476.718
13,477.176
14,477.382
15,477.587
16,477.626
17,477.924
18,478.415
19,478.658
20,478.991
21,479.386
22,479.572
23,479.783
24,480.183
25,480.666
26,481.024
27,482.052
28,483.040
29,483.224
30,484.080
31,485.358
32,485.393
33,486.379
34,487.000
35,487.104
36,487.747
37,488.038
38,489.248
39,490.522
40,493.016
41,497.106
42,501.361
43,503.222
44,503.395
45,503.477
46,503.679
47,503.826
48,503.909
49,504.167
50,504.204
51,504.243
52,504.552
53,504.745
54,504.901
55,505.089
56,505.166
57,505.559
58,506.296
59,506.369
60,506.602
61,507.418
62,508.034
63,509.551
64,512.418
65,513.359
66,513.721
67,515.372
68,516.148
69,516.445
70,516.954
71,517.164
72,517.951
73,518.932
74,519.682
75,523.593
76,525.065
77,527.065
78,531.162
79,535.693
80,536.729
81,542.204
82,543.791
83,546.833
84,556.549
85,563.105
86,563.499
87,565.186
88,569.060
89,578.152
90,585.193
91,596.502
92,597.829
93,602.787
94,604.760
95,606.605
96,609.310
97,610.239
98,613.748
99,616.397
100,617.830
