Percentage served,Time in ms
0,1265.782
1,1267.553
2,1267.978
3,1268.075
4,1268.325
5,1268.386
6,1268.568
7,1268.647
8,1268.647
9,1268.732
10,1268.806
11,1269.108
12,1269.119
13,1269.286
14,1269.299
15,1269.692
16,1269.852
17,1270.150
18,1270.196
19,1270.221
20,1270.387
21,1270.402
22,1270.402
23,1270.773
24,1271.352
25,1271.822
26,1271.852
27,1272.033
28,1272.337
29,1272.642
30,1273.185
31,1273.539
32,1273.573
33,1273.805
34,1273.944
35,1274.020
36,1274.020
37,1274.073
38,1274.976
39,1275.107
40,1275.239
41,1275.307
42,1275.502
43,1275.836
44,1278.070
45,1279.349
46,1280.116
47,1280.480
48,1280.720
49,1281.012
50,1281.620
51,1281.620
52,1286.347
53,1299.274
54,1301.091
55,1301.184
56,1305.402
57,1309.546
58,1309.793
59,1309.968
60,1309.986
61,1310.301
62,1310.423
63,1311.078
64,1311.256
65,1311.256
66,1311.541
67,1311.699
68,1313.314
69,1313.352
70,1313.537
71,1313.609
72,1313.858
73,1314.629
74,1314.986
75,1315.256
76,1315.620
77,1315.723
78,1316.037
79,1316.037
80,1317.250
81,1318.820
82,1321.821
83,1323.140
84,1323.267
85,1323.966
86,1325.476
87,1325.648
88,1329.922
89,1338.870
90,1343.320
91,1343.407
92,1351.612
93,1351.612
94,1353.093
95,1354.811
96,1359.347
97,1363.977
98,1371.782
99,1372.736
100,1372.736
