Percentage served,Time in ms
0,514.859
1,515.599
2,516.945
3,517.278
4,517.934
5,518.078
6,518.266
7,518.383
8,518.409
9,518.519
10,518.783
11,518.886
12,518.964
13,519.010
14,519.277
15,519.412
16,519.422
17,519.453
18,519.544
19,519.568
20,519.634
21,519.810
22,519.844
23,519.887
24,519.926
25,519.982
26,520.031
27,520.238
28,520.384
29,520.405
30,520.587
31,520.616
32,520.779
33,520.821
34,521.053
35,521.138
36,521.278
37,521.940
38,522.229
39,522.979
40,523.229
41,523.397
42,523.647
43,523.818
44,523.860
45,523.938
46,524.534
47,524.606
48,524.731
49,525.141
50,527.809
51,528.917
52,531.385
53,534.852
54,544.459
55,545.027
56,545.107
57,545.611
58,546.117
59,546.236
60,546.407
61,546.521
62,546.597
63,546.648
64,546.747
65,546.948
66,547.131
67,547.152
68,547.229
69,547.258
70,547.388
71,547.543
72,547.580
73,547.653
74,548.010
75,548.043
76,548.159
77,548.208
78,548.357
79,548.502
80,548.576
81,548.632
82,548.793
83,548.900
84,548.916
85,549.142
86,549.466
87,549.523
88,549.813
89,550.187
90,550.644
91,550.736
92,550.899
93,551.329
94,551.415
95,551.625
96,552.748
97,555.028
98,557.601
99,564.578
100,568.380
