Percentage served,Time in ms
0,1309.812
1,1309.989
2,1310.030
3,1310.355
4,1310.420
5,1310.882
6,1310.882
7,1310.929
8,1311.248
9,1311.319
10,1311.342
11,1311.745
12,1311.776
13,1311.855
14,1311.880
15,1312.318
16,1312.318
17,1312.972
18,1313.354
19,1313.387
20,1313.470
21,1313.578
22,1313.744
23,1313.862
24,1313.994
25,1314.330
26,1314.330
27,1314.346
28,1314.421
29,1314.670
30,1314.978
31,1315.288
32,1315.388
33,1315.751
34,1315.806
35,1315.847
36,1315.847
37,1315.922
38,1316.045
39,1316.633
40,1316.644
41,1316.762
42,1316.950
43,1317.035
44,1317.223
45,1317.360
46,1317.360
47,1317.426
48,1317.497
49,1317.572
50,1317.780
51,1318.030
52,1318.581
53,1318.655
54,1319.576
55,1321.693
56,1321.693
57,1322.029
58,1322.518
59,1322.526
60,1325.373
61,1348.686
62,1352.166
63,1352.217
64,1352.457
65,1352.807
66,1352.807
67,1352.934
68,1352.965
69,1353.233
70,1353.697
71,1353.856
72,1353.923
73,1354.402
74,1354.471
75,1354.595
76,1354.595
77,1354.931
78,1355.010
79,1355.074
80,1355.545
81,1356.016
82,1356.334
83,1356.366
84,1356.517
85,1357.188
86,1357.188
87,1357.490
88,1358.024
89,1358.255
90,1358.608
91,1359.687
92,1360.689
93,1362.819
94,1365.245
95,1379.778
96,1379.778
97,1380.003
98,1384.017
99,1384.877
100,1384.877
