Percentage served,Time in ms
0,515.556
1,516.960
2,518.154
3,518.510
4,519.136
5,519.153
6,519.190
7,519.461
8,519.543
9,519.763
10,520.032
11,520.086
12,520.296
13,520.306
14,520.480
15,520.632
16,520.799
17,520.834
18,520.970
19,521.373
20,521.590
21,521.698
22,522.371
23,522.748
24,523.044
25,523.220
26,523.343
27,523.458
28,523.662
29,523.721
30,523.768
31,523.840
32,523.864
33,523.973
34,524.162
35,524.373
36,524.490
37,524.667
38,525.064
39,525.292
40,525.613
41,525.781
42,527.190
43,527.529
44,527.691
45,528.129
46,528.305
47,528.723
48,529.151
49,531.679
50,532.253
51,533.676
52,535.372
53,537.042
54,543.037
55,545.119
56,545.300
57,545.890
58,546.401
59,546.490
60,546.947
61,547.384
62,547.530
63,547.704
64,547.886
65,548.054
66,548.454
67,548.592
68,548.804
69,549.139
70,549.382
71,549.577
72,549.706
73,549.829
74,549.851
75,550.120
76,550.143
77,550.164
78,550.274
79,550.372
80,550.511
81,550.654
82,550.890
83,550.928
84,551.142
85,551.204
86,551.239
87,551.574
88,552.472
89,552.719
90,553.127
91,553.230
92,553.992
93,554.432
94,554.760
95,556.506
96,557.421
97,560.038
98,561.324
99,563.994
100,569.338
