Percentage served,Time in ms
0,1310.839
1,1310.877
2,1310.970
3,1310.996
4,1311.238
5,1311.646
6,1311.646
7,1311.768
8,1313.065
9,1313.073
10,1313.157
11,1313.163
12,1313.529
13,1313.670
14,1313.868
15,1314.123
16,1314.123
17,1314.388
18,1314.605
19,1314.625
20,1314.745
21,1314.820
22,1315.190
23,1315.321
24,1315.326
25,1315.332
26,1315.332
27,1315.405
28,1315.468
29,1315.724
30,1315.865
31,1316.077
32,1316.122
33,1316.469
34,1317.093
35,1317.221
36,1317.221
37,1317.243
38,1317.528
39,1317.564
40,1317.641
41,1317.896
42,1317.903
43,1319.297
44,1320.276
45,1321.068
46,1321.068
47,1321.096
48,1321.101
49,1321.392
50,1321.538
51,1321.966
52,1322.295
53,1323.461
54,1325.489
55,1326.282
56,1326.282
57,1326.966
58,1328.065
59,1328.233
60,1328.392
61,1328.447
62,1329.320
63,1338.024
64,1350.885
65,1351.800
66,1351.800
67,1352.461
68,1353.206
69,1355.097
70,1355.294
71,1355.531
72,1355.714
73,1356.279
74,1356.556
75,1357.036
76,1357.036
77,1358.430
78,1358.463
79,1358.590
80,1359.198
81,1359.854
82,1360.719
83,1361.436
84,1361.860
85,1362.382
86,1362.382
87,1363.379
88,1370.367
89,1378.737
90,1380.422
91,1380.828
92,1381.405
93,1382.169
94,1383.427
95,1386.544
96,1386.544
97,1390.981
98,1393.369
99,1397.276
100,1397.276
