Percentage served,Time in ms
0,279.891
1,280.141
2,280.323
3,280.361
4,280.391
5,280.414
6,280.460
7,280.488
8,280.522
9,280.550
10,280.571
11,280.578
12,280.591
13,280.649
14,280.678
15,280.700
16,280.743
17,280.758
18,280.778
19,280.790
20,280.799
21,280.815
22,280.826
23,280.834
24,280.853
25,280.899
26,280.928
27,280.947
28,280.957
29,280.988
30,281.030
31,281.063
32,281.078
33,281.117
34,281.126
35,281.145
36,281.160
37,281.187
38,281.231
39,281.236
40,281.255
41,281.279
42,281.331
43,281.353
44,281.367
45,281.392
46,281.412
47,281.446
48,281.465
49,281.496
50,281.538
51,281.550
52,281.581
53,281.599
54,281.613
55,281.624
56,281.659
57,281.702
58,281.721
59,281.736
60,281.756
61,281.781
62,281.812
63,281.829
64,281.874
65,281.917
66,281.937
67,281.967
68,281.981
69,282.004
70,282.016
71,282.042
72,282.081
73,282.096
74,282.132
75,282.170
76,282.231
77,282.285
78,282.299
79,282.348
80,282.382
81,282.405
82,282.439
83,282.471
84,282.501
85,282.550
86,282.585
87,282.665
88,282.725
89,282.800
90,282.841
91,282.973
92,283.113
93,283.175
94,283.246
95,283.409
96,283.585
97,284.269
98,284.709
99,285.556
100,287.716
