Percentage served,Time in ms
0,1322.006
1,1322.412
2,1322.414
3,1322.718
4,1322.829
5,1322.919
6,1322.919
7,1323.205
8,1323.691
9,1323.748
10,1323.845
11,1323.864
12,1323.954
13,1323.974
14,1323.987
15,1324.039
16,1324.053
17,1324.053
18,1324.058
19,1324.203
20,1324.412
21,1324.551
22,1324.592
23,1324.609
24,1324.762
25,1324.765
26,1324.812
27,1324.847
28,1324.847
29,1324.857
30,1324.907
31,1324.910
32,1324.936
33,1325.044
34,1325.045
35,1325.112
36,1325.147
37,1325.336
38,1325.369
39,1325.369
40,1325.506
41,1325.683
42,1325.703
43,1326.003
44,1326.027
45,1326.034
46,1326.113
47,1326.178
48,1326.326
49,1326.338
50,1326.518
51,1326.518
52,1326.558
53,1326.605
54,1326.690
55,1326.752
56,1327.676
57,1327.770
58,1327.832
59,1327.844
60,1328.216
61,1328.403
62,1328.403
63,1328.474
64,1328.700
65,1328.733
66,1328.843
67,1328.855
68,1328.964
69,1329.185
70,1329.196
71,1329.299
72,1329.716
73,1329.716
74,1329.998
75,1330.068
76,1330.126
77,1330.153
78,1330.219
79,1330.225
80,1330.261
81,1330.711
82,1330.732
83,1330.850
84,1330.850
85,1330.998
86,1331.114
87,1331.257
88,1331.507
89,1331.595
90,1331.823
91,1331.898
92,1332.368
93,1332.606
94,1333.808
95,1333.808
96,1334.127
97,1334.328
98,1337.142
99,1337.476
100,1337.476
