Percentage served,Time in ms
0,279.829
1,280.029
2,280.148
3,280.189
4,280.236
5,280.267
6,280.311
7,280.340
8,280.367
9,280.374
10,280.393
11,280.443
12,280.454
13,280.470
14,280.486
15,280.506
16,280.528
17,280.543
18,280.576
19,280.587
20,280.602
21,280.623
22,280.639
23,280.652
24,280.683
25,280.712
26,280.728
27,280.735
28,280.764
29,280.779
30,280.810
31,280.818
32,280.836
33,280.844
34,280.851
35,280.861
36,280.870
37,280.885
38,280.908
39,280.927
40,280.934
41,280.953
42,280.975
43,280.987
44,281.000
45,281.005
46,281.019
47,281.031
48,281.045
49,281.065
50,281.082
51,281.092
52,281.102
53,281.120
54,281.144
55,281.160
56,281.183
57,281.194
58,281.218
59,281.235
60,281.254
61,281.286
62,281.314
63,281.343
64,281.371
65,281.376
66,281.381
67,281.399
68,281.433
69,281.488
70,281.520
71,281.532
72,281.547
73,281.586
74,281.625
75,281.649
76,281.676
77,281.689
78,281.701
79,281.742
80,281.787
81,281.850
82,281.885
83,281.910
84,281.957
85,281.977
86,282.039
87,282.107
88,282.136
89,282.185
90,282.231
91,282.294
92,282.358
93,282.431
94,282.534
95,282.833
96,282.949
97,283.272
98,283.941
99,285.155
100,286.683
