Percentage served,Time in ms
0,1324.195
1,1324.216
2,1325.128
3,1326.395
4,1326.395
5,1327.707
6,1330.085
7,1391.407
8,1391.955
9,1392.144
10,1392.375
11,1392.443
12,1392.443
13,1392.533
14,1392.694
15,1392.748
16,1392.778
17,1392.795
18,1392.818
19,1392.828
20,1392.828
21,1392.951
22,1392.970
23,1393.007
24,1393.044
25,1393.057
26,1393.359
27,1393.359
28,1393.603
29,1393.800
30,1393.824
31,1393.840
32,1393.897
33,1394.054
34,1394.127
35,1394.127
36,1394.211
37,1394.382
38,1394.414
39,1394.461
40,1394.468
41,1394.471
42,1394.583
43,1394.583
44,1394.601
45,1394.703
46,1394.703
47,1394.991
48,1395.220
49,1395.302
50,1395.334
51,1395.334
52,1395.445
53,1395.511
54,1395.568
55,1395.576
56,1395.586
57,1395.672
58,1395.672
59,1395.936
60,1395.940
61,1395.956
62,1395.966
63,1395.986
64,1396.215
65,1396.451
66,1396.451
67,1396.552
68,1396.591
69,1396.930
70,1396.946
71,1397.007
72,1397.203
73,1397.449
74,1397.449
75,1397.710
76,1398.012
77,1398.081
78,1398.244
79,1398.563
80,1399.076
81,1399.076
82,1399.161
83,1399.257
84,1399.478
85,1399.652
86,1399.808
87,1399.822
88,1399.843
89,1399.843
90,1399.851
91,1400.250
92,1400.687
93,1400.841
94,1400.995
95,1401.220
96,1401.370
97,1401.370
98,1403.016
99,1534.677
100,1534.677
