Percentage served,Time in ms
0,1253.235
1,1253.763
2,1253.848
3,1254.153
4,1254.996
5,1255.019
6,1255.104
7,1255.437
8,1255.462
9,1255.789
10,1255.807
11,1255.807
12,1255.934
13,1256.042
14,1256.220
15,1256.324
16,1256.678
17,1256.712
18,1256.848
19,1256.925
20,1256.956
21,1256.995
22,1256.999
23,1257.035
24,1257.173
25,1257.223
26,1257.405
27,1257.792
28,1257.827
29,1257.955
30,1258.099
31,1258.099
32,1258.237
33,1258.323
34,1258.420
35,1258.561
36,1258.756
37,1258.837
38,1258.843
39,1258.938
40,1259.066
41,1259.127
42,1259.232
43,1259.289
44,1259.612
45,1259.686
46,1259.720
47,1260.410
48,1260.639
49,1260.746
50,1261.005
51,1261.005
52,1261.112
53,1261.121
54,1261.229
55,1261.504
56,1261.685
57,1261.787
58,1262.325
59,1262.426
60,1262.713
61,1262.722
62,1263.956
63,1264.007
64,1264.374
65,1265.183
66,1265.633
67,1295.581
68,1295.697
69,1295.899
70,1295.928
71,1295.928
72,1296.262
73,1296.432
74,1297.355
75,1297.533
76,1297.591
77,1298.408
78,1298.707
79,1298.770
80,1299.738
81,1299.949
82,1299.967
83,1300.066
84,1300.127
85,1300.429
86,1300.517
87,1300.539
88,1300.701
89,1302.240
90,1303.138
91,1303.138
92,1303.313
93,1303.805
94,1306.292
95,1323.508
96,1326.173
97,1329.328
98,1330.179
99,1331.079
100,1331.079
