Percentage served,Time in ms
0,280.249
1,280.427
2,280.558
3,280.609
4,280.687
5,280.714
6,280.791
7,280.812
8,280.832
9,280.857
10,280.901
11,280.906
12,280.934
13,280.947
14,280.979
15,281.007
16,281.012
17,281.028
18,281.061
19,281.095
20,281.112
21,281.119
22,281.135
23,281.144
24,281.164
25,281.176
26,281.187
27,281.200
28,281.231
29,281.249
30,281.256
31,281.306
32,281.323
33,281.334
34,281.351
35,281.359
36,281.377
37,281.387
38,281.417
39,281.426
40,281.443
41,281.455
42,281.480
43,281.514
44,281.527
45,281.553
46,281.583
47,281.614
48,281.619
49,281.662
50,281.671
51,281.698
52,281.748
53,281.761
54,281.772
55,281.783
56,281.808
57,281.827
58,281.839
59,281.852
60,281.861
61,281.886
62,281.909
63,281.938
64,281.972
65,281.994
66,282.011
67,282.028
68,282.084
69,282.102
70,282.123
71,282.132
72,282.157
73,282.173
74,282.179
75,282.223
76,282.243
77,282.271
78,282.307
79,282.327
80,282.341
81,282.349
82,282.365
83,282.429
84,282.475
85,282.508
86,282.540
87,282.564
88,282.606
89,282.670
90,282.687
91,282.744
92,282.754
93,282.877
94,282.953
95,283.148
96,283.304
97,283.547
98,284.368
99,285.949
100,288.132
