Percentage served,Time in ms
0,1336.738
1,1338.151
2,1340.083
3,1340.638
4,1340.638
5,1342.956
6,1343.243
7,1345.491
8,1347.425
9,1347.930
10,1348.041
11,1348.041
12,1348.599
13,1349.535
14,1350.696
15,1351.322
16,1357.031
17,1377.860
18,1377.860
19,1379.791
20,1380.527
21,1382.773
22,1383.002
23,1383.267
24,1383.325
25,1383.366
26,1383.366
27,1383.767
28,1384.136
29,1384.946
30,1385.741
31,1385.932
32,1386.933
33,1386.933
34,1387.236
35,1387.540
36,1387.605
37,1389.386
38,1389.762
39,1389.893
40,1389.893
41,1391.353
42,1391.432
43,1391.436
44,1391.711
45,1391.828
46,1391.848
47,1391.848
48,1393.957
49,1394.900
50,1395.359
51,1399.197
52,1400.096
53,1400.361
54,1400.361
55,1400.755
56,1400.874
57,1407.277
58,1408.980
59,1409.043
60,1409.682
61,1409.682
62,1410.954
63,1411.015
64,1412.484
65,1412.514
66,1412.882
67,1413.035
68,1413.035
69,1415.105
70,1416.620
71,1417.142
72,1417.365
73,1417.593
74,1417.707
75,1417.723
76,1417.723
77,1417.879
78,1418.595
79,1419.084
80,1419.387
81,1419.486
82,1419.590
83,1419.590
84,1419.596
85,1420.548
86,1421.486
87,1421.790
88,1422.147
89,1422.251
90,1422.251
91,1423.013
92,1423.319
93,1423.619
94,1426.558
95,1429.202
96,1432.142
97,1432.142
98,1432.302
99,1436.127
100,1436.127
