Percentage served,Time in ms
0,431.347
1,432.106
2,432.634
3,433.171
4,433.535
5,433.942
6,434.182
7,434.342
8,434.487
9,434.779
10,434.988
11,435.218
12,435.496
13,435.570
14,435.992
15,436.008
16,436.139
17,436.297
18,436.478
19,436.575
20,436.703
21,436.788
22,436.947
23,437.264
24,437.271
25,437.409
26,437.711
27,437.821
28,437.942
29,438.083
30,438.107
31,438.334
32,438.385
33,438.563
34,438.626
35,438.674
36,438.752
37,438.822
38,438.989
39,439.035
40,439.256
41,439.405
42,439.429
43,439.451
44,439.589
45,439.617
46,439.724
47,439.818
48,440.082
49,440.267
50,440.473
51,440.591
52,440.726
53,440.781
54,441.103
55,441.280
56,441.392
57,441.515
58,441.590
59,441.645
60,441.995
61,442.216
62,442.315
63,442.490
64,442.765
65,442.889
66,443.031
67,443.109
68,443.272
69,443.797
70,443.925
71,444.031
72,444.162
73,444.399
74,444.523
75,444.672
76,444.923
77,445.038
78,445.264
79,445.379
80,445.510
81,445.568
82,445.705
83,445.916
84,446.230
85,447.111
86,447.686
87,447.975
88,447.996
89,448.442
90,448.870
91,448.986
92,449.521
93,450.378
94,451.122
95,451.881
96,453.037
97,454.341
98,455.766
99,459.530
100,473.490
