Percentage served,Time in ms
0,420.920
1,421.375
2,421.479
3,421.589
4,421.648
5,421.725
6,421.762
7,421.778
8,421.798
9,421.861
10,421.881
11,421.915
12,421.951
13,421.969
14,421.981
15,422.079
16,422.162
17,422.192
18,422.227
19,422.264
20,422.289
21,422.347
22,422.363
23,422.393
24,422.422
25,422.474
26,422.477
27,422.507
28,422.536
29,422.571
30,422.600
31,422.610
32,422.626
33,422.634
34,422.657
35,422.691
36,422.723
37,422.740
38,422.764
39,422.808
40,422.818
41,422.870
42,422.938
43,423.009
44,423.070
45,423.156
46,423.201
47,423.213
48,423.257
49,423.310
50,423.317
51,423.346
52,423.411
53,423.458
54,423.491
55,423.521
56,423.566
57,423.628
58,423.722
59,423.730
60,423.751
61,423.826
62,423.890
63,423.950
64,423.958
65,424.069
66,424.091
67,424.146
68,424.224
69,424.342
70,424.526
71,424.567
72,424.664
73,424.717
74,424.871
75,424.982
76,425.126
77,425.233
78,425.372
79,425.448
80,425.594
81,425.739
82,426.348
83,426.498
84,426.729
85,427.496
86,428.142
87,428.757
88,429.848
89,431.088
90,431.662
91,432.623
92,432.753
93,433.963
94,434.707
95,436.766
96,439.450
97,439.784
98,441.212
99,442.413
100,444.112
