Percentage served,Time in ms
0,1324.213
1,1324.373
2,1325.002
3,1325.133
4,1325.260
5,1325.373
6,1325.373
7,1325.581
8,1325.616
9,1325.641
10,1325.780
11,1325.808
12,1325.885
13,1325.918
14,1325.931
15,1326.118
16,1326.129
17,1326.129
18,1326.209
19,1326.292
20,1326.388
21,1326.464
22,1326.625
23,1326.635
24,1326.681
25,1326.762
26,1326.824
27,1326.868
28,1326.868
29,1326.880
30,1326.919
31,1326.971
32,1327.006
33,1327.063
34,1327.096
35,1327.105
36,1327.130
37,1327.198
38,1327.235
39,1327.235
40,1327.259
41,1327.334
42,1327.422
43,1327.438
44,1327.501
45,1327.529
46,1327.756
47,1327.898
48,1327.996
49,1328.094
50,1328.133
51,1328.133
52,1328.430
53,1328.448
54,1328.514
55,1328.569
56,1328.574
57,1328.674
58,1328.680
59,1328.910
60,1329.004
61,1329.102
62,1329.102
63,1329.182
64,1329.193
65,1329.212
66,1329.283
67,1329.365
68,1329.380
69,1329.436
70,1329.678
71,1329.972
72,1330.866
73,1330.866
74,1330.914
75,1330.994
76,1331.303
77,1331.718
78,1331.894
79,1331.917
80,1331.998
81,1332.081
82,1332.082
83,1332.355
84,1332.355
85,1332.416
86,1332.418
87,1332.461
88,1332.639
89,1332.803
90,1332.932
91,1333.287
92,1334.045
93,1334.711
94,1335.159
95,1335.159
96,1335.958
97,1338.551
98,1344.771
99,1352.298
100,1352.298
