Percentage served,Time in ms
0,488.890
1,489.006
2,489.177
3,489.219
4,489.224
5,489.304
6,489.339
7,489.345
8,489.450
9,489.472
10,489.513
11,489.574
12,489.607
13,489.657
14,489.676
15,489.720
16,489.734
17,489.756
18,489.843
19,489.865
20,489.938
21,489.992
22,490.011
23,490.022
24,490.062
25,490.110
26,490.113
27,490.150
28,490.170
29,490.201
30,490.220
31,490.250
32,490.282
33,490.305
34,490.323
35,490.336
36,490.362
37,490.367
38,490.413
39,490.419
40,490.427
41,490.453
42,490.466
43,490.489
44,490.545
45,490.616
46,490.622
47,490.640
48,490.671
49,490.693
50,490.711
51,490.726
52,490.784
53,490.800
54,490.819
55,490.833
56,490.911
57,490.943
58,490.977
59,490.998
60,491.004
61,491.018
62,491.051
63,491.119
64,491.133
65,491.167
66,491.181
67,491.227
68,491.395
69,491.426
70,491.488
71,491.537
72,491.640
73,491.706
74,491.756
75,491.831
76,491.886
77,492.031
78,492.085
79,492.133
80,492.150
81,492.206
82,492.218
83,492.238
84,492.244
85,492.246
86,492.279
87,492.314
88,492.480
89,492.522
90,492.717
91,492.792
92,492.850
93,493.065
94,493.347
95,493.618
96,493.656
97,494.017
98,495.082
99,498.888
100,498.953
