Percentage served,Time in ms
0,1253.617
1,1253.986
2,1253.996
3,1254.251
4,1254.379
5,1254.507
6,1254.614
7,1254.806
8,1254.819
9,1254.845
10,1254.891
11,1254.902
12,1255.054
13,1255.054
14,1255.183
15,1255.204
16,1255.224
17,1255.259
18,1255.289
19,1255.300
20,1255.368
21,1255.395
22,1255.537
23,1255.580
24,1255.582
25,1255.597
26,1255.602
27,1255.622
28,1255.722
29,1255.759
30,1255.799
31,1255.824
32,1255.852
33,1256.054
34,1256.191
35,1256.229
36,1256.277
37,1256.290
38,1256.290
39,1256.382
40,1256.407
41,1256.420
42,1256.464
43,1256.500
44,1256.609
45,1256.646
46,1256.689
47,1256.751
48,1256.801
49,1256.830
50,1257.090
51,1257.216
52,1257.282
53,1257.303
54,1257.432
55,1257.473
56,1257.480
57,1257.509
58,1257.535
59,1257.761
60,1257.769
61,1257.943
62,1257.990
63,1257.990
64,1258.140
65,1258.330
66,1258.587
67,1258.705
68,1258.886
69,1258.936
70,1258.949
71,1259.172
72,1259.347
73,1259.380
74,1259.829
75,1260.216
76,1260.684
77,1261.153
78,1261.228
79,1261.341
80,1261.731
81,1261.859
82,1262.108
83,1262.137
84,1262.347
85,1262.366
86,1262.630
87,1262.650
88,1262.650
89,1262.716
90,1262.998
91,1263.431
92,1263.628
93,1263.757
94,1264.164
95,1264.647
96,1265.742
97,1268.420
98,1295.445
99,1303.337
100,1303.337
