Percentage served,Time in ms
0,1338.940
1,1340.349
2,1340.564
3,1344.389
4,1344.389
5,1345.457
6,1345.772
7,1345.788
8,1347.539
9,1347.539
10,1347.683
11,1347.683
12,1355.153
13,1356.434
14,1356.613
15,1357.207
16,1360.568
17,1362.603
18,1362.603
19,1380.500
20,1381.733
21,1382.321
22,1382.845
23,1383.230
24,1384.381
25,1384.405
26,1384.405
27,1385.392
28,1385.525
29,1385.714
30,1385.852
31,1385.888
32,1385.929
33,1385.929
34,1388.043
35,1388.398
36,1388.638
37,1389.063
38,1389.895
39,1390.410
40,1390.410
41,1390.932
42,1391.526
43,1392.412
44,1392.471
45,1392.630
46,1394.346
47,1394.346
48,1394.600
49,1396.480
50,1396.769
51,1398.132
52,1398.777
53,1405.756
54,1405.756
55,1405.795
56,1409.745
57,1411.157
58,1411.559
59,1412.234
60,1412.414
61,1412.414
62,1412.562
63,1412.895
64,1413.112
65,1413.677
66,1413.798
67,1413.902
68,1413.902
69,1414.081
70,1414.158
71,1414.402
72,1414.728
73,1415.184
74,1415.540
75,1416.134
76,1416.134
77,1417.013
78,1417.271
79,1418.040
80,1418.259
81,1418.938
82,1420.166
83,1420.166
84,1420.198
85,1420.373
86,1420.496
87,1420.569
88,1421.658
89,1422.687
90,1422.687
91,1423.795
92,1424.077
93,1425.559
94,1425.948
95,1428.862
96,1429.356
97,1429.356
98,1430.862
99,1713.545
100,1713.545
