Percentage served,Time in ms
0,431.488
1,431.973
2,432.272
3,433.404
4,433.823
5,433.938
6,434.047
7,434.168
8,434.384
9,434.470
10,434.545
11,434.911
12,435.070
13,435.144
14,435.309
15,435.515
16,435.587
17,435.725
18,435.931
19,436.024
20,436.098
21,436.335
22,436.469
23,436.543
24,436.693
25,436.861
26,437.004
27,437.094
28,437.343
29,437.625
30,437.695
31,437.846
32,437.956
33,438.169
34,438.208
35,438.319
36,438.346
37,438.392
38,438.548
39,438.801
40,439.005
41,439.087
42,439.214
43,439.266
44,439.587
45,439.721
46,439.920
47,440.097
48,440.228
49,440.304
50,440.353
51,440.556
52,440.931
53,440.961
54,441.118
55,441.285
56,441.352
57,441.459
58,441.522
59,441.569
60,441.714
61,441.739
62,441.915
63,442.091
64,442.301
65,442.377
66,442.442
67,442.595
68,442.885
69,443.023
70,443.300
71,443.416
72,443.583
73,443.677
74,443.964
75,444.039
76,444.227
77,444.398
78,444.561
79,444.635
80,444.953
81,445.051
82,445.156
83,445.645
84,445.776
85,445.883
86,446.681
87,447.018
88,447.365
89,448.159
90,448.367
91,448.840
92,449.045
93,449.801
94,450.341
95,450.762
96,450.977
97,452.733
98,454.031
99,456.009
100,461.846
