Percentage served,Time in ms
0,420.937
1,421.211
2,421.319
3,421.379
4,421.449
5,421.523
6,421.546
7,421.592
8,421.612
9,421.621
10,421.680
11,421.763
12,421.794
13,421.844
14,421.889
15,421.903
16,421.908
17,421.944
18,421.965
19,421.993
20,422.041
21,422.062
22,422.082
23,422.102
24,422.113
25,422.142
26,422.187
27,422.191
28,422.215
29,422.232
30,422.242
31,422.265
32,422.289
33,422.316
34,422.328
35,422.352
36,422.386
37,422.420
38,422.446
39,422.447
40,422.470
41,422.485
42,422.516
43,422.528
44,422.536
45,422.554
46,422.599
47,422.654
48,422.668
49,422.697
50,422.735
51,422.743
52,422.759
53,422.781
54,422.809
55,422.837
56,422.883
57,422.902
58,422.919
59,422.930
60,422.954
61,422.996
62,423.002
63,423.046
64,423.131
65,423.174
66,423.266
67,423.324
68,423.363
69,423.376
70,423.433
71,423.458
72,423.510
73,423.564
74,423.625
75,423.716
76,423.785
77,423.823
78,423.861
79,423.940
80,423.992
81,424.017
82,424.085
83,424.139
84,424.171
85,424.265
86,424.293
87,424.405
88,424.457
89,424.546
90,424.628
91,424.670
92,424.842
93,424.916
94,424.990
95,425.038
96,425.467
97,426.694
98,426.768
99,428.920
100,431.070
