Percentage served,Time in ms
0,1255.593
1,1256.299
2,1256.568
3,1256.909
4,1257.511
5,1257.607
6,1257.607
7,1258.441
8,1258.501
9,1258.621
10,1258.625
11,1258.980
12,1259.015
13,1259.218
14,1259.691
15,1260.632
16,1261.198
17,1261.198
18,1263.517
19,1263.948
20,1263.957
21,1324.139
22,1324.322
23,1324.545
24,1324.725
25,1325.006
26,1325.177
27,1325.400
28,1325.400
29,1325.431
30,1325.445
31,1325.658
32,1325.680
33,1325.705
34,1325.780
35,1325.918
36,1326.073
37,1326.301
38,1326.308
39,1326.308
40,1326.374
41,1326.398
42,1326.502
43,1326.649
44,1327.078
45,1327.149
46,1327.288
47,1327.362
48,1327.386
49,1327.389
50,1327.405
51,1327.405
52,1327.407
53,1327.432
54,1327.524
55,1327.836
56,1327.854
57,1327.876
58,1327.877
59,1327.922
60,1328.128
61,1328.189
62,1328.189
63,1328.764
64,1328.810
65,1328.906
66,1329.433
67,1329.434
68,1329.482
69,1329.498
70,1329.706
71,1329.735
72,1329.845
73,1329.845
74,1329.922
75,1330.048
76,1330.321
77,1330.387
78,1330.418
79,1330.961
80,1331.462
81,1331.469
82,1331.687
83,1331.734
84,1331.734
85,1331.968
86,1332.308
87,1332.439
88,1332.526
89,1332.627
90,1332.958
91,1333.158
92,1333.776
93,1334.036
94,1334.306
95,1334.306
96,1334.648
97,1334.947
98,1336.566
99,1535.831
100,1535.831
