Percentage served,Time in ms
0,1252.897
1,1253.174
2,1254.096
3,1254.118
4,1254.255
5,1254.263
6,1254.306
7,1254.429
8,1254.474
9,1254.557
10,1254.630
11,1254.638
12,1254.674
13,1254.674
14,1254.691
15,1254.703
16,1254.900
17,1254.935
18,1254.937
19,1255.007
20,1255.069
21,1255.070
22,1255.264
23,1255.304
24,1255.372
25,1255.480
26,1255.514
27,1255.570
28,1255.899
29,1255.928
30,1256.005
31,1256.031
32,1256.046
33,1256.053
34,1256.130
35,1256.139
36,1256.201
37,1256.209
38,1256.209
39,1256.558
40,1256.622
41,1256.718
42,1256.727
43,1256.887
44,1256.944
45,1257.046
46,1257.108
47,1257.202
48,1257.349
49,1257.458
50,1257.524
51,1257.539
52,1257.587
53,1257.665
54,1257.693
55,1257.727
56,1257.752
57,1257.904
58,1258.039
59,1258.222
60,1258.263
61,1258.309
62,1258.339
63,1258.339
64,1258.350
65,1258.415
66,1258.416
67,1258.435
68,1258.713
69,1258.910
70,1259.268
71,1259.276
72,1259.361
73,1259.528
74,1259.557
75,1259.588
76,1259.670
77,1260.125
78,1260.211
79,1260.212
80,1260.344
81,1261.008
82,1261.042
83,1261.052
84,1261.680
85,1261.852
86,1261.918
87,1262.000
88,1262.000
89,1262.031
90,1262.214
91,1262.775
92,1262.858
93,1263.152
94,1263.546
95,1264.088
96,1296.398
97,1297.317
98,1298.011
99,1328.176
100,1328.176
