Percentage served,Time in ms
0,349.664
1,349.806
2,349.950
3,349.964
4,350.012
5,350.060
6,350.075
7,350.123
8,350.141
9,350.195
10,350.230
11,350.240
12,350.258
13,350.276
14,350.312
15,350.335
16,350.354
17,350.382
18,350.389
19,350.416
20,350.426
21,350.454
22,350.479
23,350.499
24,350.519
25,350.525
26,350.542
27,350.565
28,350.592
29,350.609
30,350.641
31,350.646
32,350.662
33,350.696
34,350.720
35,350.725
36,350.743
37,350.769
38,350.801
39,350.811
40,350.825
41,350.854
42,350.865
43,350.902
44,350.918
45,350.925
46,350.940
47,350.962
48,351.021
49,351.052
50,351.080
51,351.085
52,351.090
53,351.111
54,351.130
55,351.178
56,351.211
57,351.227
58,351.248
59,351.290
60,351.297
61,351.314
62,351.330
63,351.381
64,351.395
65,351.448
66,351.467
67,351.481
68,351.498
69,351.515
70,351.542
71,351.594
72,351.627
73,351.662
74,351.694
75,351.740
76,351.773
77,351.818
78,351.891
79,351.944
80,351.967
81,351.987
82,352.035
83,352.053
84,352.079
85,352.105
86,352.173
87,352.201
88,352.250
89,352.327
90,352.374
91,352.423
92,352.459
93,352.536
94,352.713
95,352.894
96,352.952
97,353.386
98,354.069
99,355.782
100,359.219
