Percentage served,Time in ms
0,461.918
1,462.190
2,462.314
3,462.645
4,462.953
5,463.254
6,463.402
7,463.457
8,463.509
9,463.578
10,463.603
11,463.631
12,463.726
13,463.772
14,463.849
15,463.860
16,463.927
17,463.967
18,464.014
19,464.036
20,464.189
21,464.255
22,464.377
23,464.391
24,464.472
25,464.522
26,464.631
27,464.716
28,464.808
29,465.030
30,465.296
31,465.376
32,465.746
33,466.152
34,466.777
35,467.096
36,467.551
37,468.516
38,470.238
39,490.494
40,490.858
41,490.900
42,490.937
43,490.980
44,491.002
45,491.057
46,491.086
47,491.167
48,491.172
49,491.174
50,491.337
51,491.347
52,491.367
53,491.434
54,491.452
55,491.465
56,491.473
57,491.546
58,491.565
59,491.589
60,491.629
61,491.665
62,491.681
63,491.709
64,491.748
65,491.797
66,491.829
67,491.866
68,491.923
69,491.969
70,491.985
71,492.021
72,492.045
73,492.091
74,492.154
75,492.170
76,492.265
77,492.309
78,492.408
79,492.423
80,492.449
81,492.529
82,492.609
83,492.778
84,492.844
85,493.078
86,493.183
87,493.252
88,493.304
89,493.587
90,493.795
91,493.963
92,494.006
93,494.096
94,494.360
95,494.655
96,494.704
97,494.992
98,495.283
99,499.947
100,616.536
