Percentage served,Time in ms
0,1323.438
1,1324.153
2,1324.169
3,1324.464
4,1324.644
5,1324.689
6,1324.689
7,1324.764
8,1325.274
9,1325.392
10,1325.464
11,1325.584
12,1325.682
13,1325.687
14,1325.718
15,1325.725
16,1325.947
17,1325.947
18,1326.274
19,1326.316
20,1326.389
21,1326.416
22,1326.554
23,1326.557
24,1326.634
25,1326.692
26,1326.753
27,1326.761
28,1326.761
29,1326.768
30,1326.827
31,1326.891
32,1326.956
33,1327.028
34,1327.040
35,1327.134
36,1327.140
37,1327.176
38,1327.210
39,1327.210
40,1327.236
41,1327.285
42,1327.297
43,1327.309
44,1327.484
45,1327.495
46,1327.586
47,1327.825
48,1327.840
49,1327.878
50,1328.023
51,1328.023
52,1328.126
53,1328.514
54,1328.599
55,1328.738
56,1328.894
57,1329.046
58,1329.099
59,1329.173
60,1329.244
61,1329.245
62,1329.245
63,1329.522
64,1329.555
65,1329.626
66,1329.628
67,1329.716
68,1329.865
69,1330.273
70,1330.401
71,1330.503
72,1330.640
73,1330.640
74,1330.645
75,1331.361
76,1331.577
77,1331.580
78,1331.794
79,1331.849
80,1332.055
81,1332.139
82,1332.212
83,1332.383
84,1332.383
85,1332.498
86,1332.683
87,1332.731
88,1332.834
89,1333.102
90,1333.356
91,1333.790
92,1333.971
93,1334.216
94,1334.489
95,1334.489
96,1334.501
97,1334.983
98,1335.475
99,1335.536
100,1335.536
