Percentage served,Time in ms
0,421.456
1,421.887
2,422.049
3,422.109
4,422.170
5,422.216
6,422.229
7,422.287
8,422.319
9,422.340
10,422.429
11,422.459
12,422.527
13,422.551
14,422.592
15,422.624
16,422.633
17,422.661
18,422.715
19,422.723
20,422.750
21,422.774
22,422.784
23,422.803
24,422.805
25,422.821
26,422.825
27,422.860
28,422.888
29,422.917
30,422.952
31,422.973
32,422.995
33,423.006
34,423.031
35,423.039
36,423.052
37,423.085
38,423.115
39,423.131
40,423.136
41,423.190
42,423.213
43,423.240
44,423.288
45,423.305
46,423.358
47,423.374
48,423.425
49,423.440
50,423.459
51,423.533
52,423.592
53,423.676
54,423.720
55,423.797
56,423.812
57,423.865
58,423.905
59,423.979
60,424.048
61,424.081
62,424.104
63,424.110
64,424.157
65,424.191
66,424.197
67,424.230
68,424.287
69,424.302
70,424.342
71,424.439
72,424.458
73,424.469
74,424.511
75,424.583
76,424.623
77,424.637
78,424.656
79,424.841
80,425.053
81,425.070
82,425.103
83,425.289
84,425.321
85,425.493
86,425.993
87,426.027
88,426.146
89,426.455
90,427.139
91,427.672
92,431.667
93,462.956
94,464.207
95,464.429
96,465.447
97,465.914
98,467.109
99,468.038
100,469.162
