Percentage served,Time in ms
0,1255.602
1,1256.150
2,1256.295
3,1256.542
4,1256.644
5,1256.674
6,1256.711
7,1256.777
8,1256.862
9,1256.867
10,1256.876
11,1256.876
12,1256.936
13,1257.011
14,1257.039
15,1257.152
16,1257.180
17,1257.232
18,1257.233
19,1257.367
20,1257.438
21,1257.547
22,1257.556
23,1257.574
24,1257.769
25,1257.851
26,1257.873
27,1257.888
28,1258.002
29,1258.061
30,1258.115
31,1258.115
32,1258.172
33,1258.181
34,1258.223
35,1258.224
36,1258.324
37,1258.353
38,1258.355
39,1258.386
40,1258.420
41,1258.444
42,1258.607
43,1258.785
44,1258.844
45,1258.890
46,1258.891
47,1258.904
48,1258.921
49,1259.034
50,1259.130
51,1259.130
52,1259.213
53,1259.224
54,1259.380
55,1259.469
56,1259.558
57,1259.583
58,1259.777
59,1259.817
60,1260.038
61,1260.063
62,1260.185
63,1260.504
64,1260.903
65,1261.242
66,1261.289
67,1261.409
68,1261.559
69,1262.001
70,1262.202
71,1262.202
72,1262.354
73,1262.706
74,1262.742
75,1262.777
76,1262.864
77,1263.021
78,1263.158
79,1263.428
80,1263.538
81,1263.553
82,1263.984
83,1264.045
84,1264.225
85,1264.305
86,1264.594
87,1264.618
88,1264.823
89,1264.958
90,1265.019
91,1265.019
92,1265.438
93,1265.810
94,1266.368
95,1266.917
96,1272.898
97,1296.584
98,1300.199
99,1507.696
100,1507.696
