Percentage served,Time in ms
0,1371.560
1,1372.631
2,1373.580
3,1373.618
4,1373.618
5,1374.109
6,1374.118
7,1374.388
8,1374.461
9,1374.503
10,1375.534
11,1375.534
12,1375.574
13,1375.574
14,1375.862
15,1376.090
16,1376.252
17,1376.253
18,1376.253
19,1376.299
20,1376.643
21,1376.813
22,1377.124
23,1377.868
24,1377.932
25,1378.236
26,1378.236
27,1378.470
28,1378.586
29,1378.665
30,1378.948
31,1379.212
32,1379.408
33,1379.408
34,1379.414
35,1379.510
36,1380.687
37,1381.498
38,1381.500
39,1381.526
40,1381.526
41,1382.286
42,1382.302
43,1382.320
44,1382.416
45,1383.479
46,1383.763
47,1383.763
48,1384.207
49,1384.765
50,1387.204
51,1388.808
52,1390.147
53,1392.226
54,1392.226
55,1394.093
56,1396.334
57,1403.460
58,1404.332
59,1410.427
60,1411.638
61,1411.638
62,1414.603
63,1414.652
64,1415.411
65,1415.833
66,1416.585
67,1416.963
68,1416.963
69,1418.409
70,1418.426
71,1420.362
72,1421.920
73,1422.362
74,1422.371
75,1423.276
76,1423.276
77,1425.295
78,1427.771
79,1429.992
80,1430.512
81,1430.807
82,1434.210
83,1434.210
84,1435.983
85,1443.872
86,1444.467
87,1444.480
88,1445.679
89,1448.154
90,1448.154
91,1448.891
92,1449.792
93,1450.527
94,1452.268
95,1453.440
96,1455.852
97,1455.852
98,1461.493
99,1465.219
100,1465.219
