Percentage served,Time in ms
0,467.308
1,467.806
2,467.909
3,468.190
4,468.524
5,468.793
6,468.972
7,469.053
8,469.220
9,469.407
10,469.429
11,469.498
12,469.576
13,469.788
14,469.853
15,469.963
16,470.178
17,470.325
18,470.433
19,470.582
20,470.742
21,470.936
22,471.104
23,471.342
24,471.396
25,471.495
26,471.513
27,471.574
28,471.726
29,472.007
30,472.025
31,472.316
32,472.443
33,472.500
34,472.748
35,473.150
36,473.270
37,473.576
38,473.761
39,473.936
40,474.109
41,474.330
42,474.341
43,474.649
44,474.952
45,475.724
46,476.227
47,476.628
48,477.179
49,477.603
50,477.796
51,478.745
52,479.016
53,479.601
54,479.801
55,480.030
56,480.230
57,480.685
58,480.725
59,480.848
60,481.109
61,481.535
62,481.849
63,482.053
64,482.327
65,482.621
66,482.701
67,483.084
68,483.144
69,483.440
70,483.689
71,483.966
72,484.027
73,484.263
74,484.523
75,484.810
76,484.973
77,485.543
78,485.864
79,486.397
80,486.628
81,488.307
82,489.201
83,489.425
84,489.724
85,490.781
86,491.971
87,492.934
88,493.631
89,494.672
90,495.903
91,496.203
92,496.735
93,497.878
94,498.228
95,499.306
96,499.945
97,502.715
98,511.276
99,522.552
100,533.670
