Percentage served,Time in ms
0,1323.827
1,1323.976
2,1324.521
3,1324.672
4,1324.694
5,1325.049
6,1325.049
7,1325.513
8,1325.737
9,1325.811
10,1325.814
11,1325.841
12,1325.990
13,1326.220
14,1326.290
15,1326.291
16,1326.488
17,1326.488
18,1326.541
19,1326.582
20,1326.594
21,1326.655
22,1326.764
23,1326.782
24,1326.790
25,1326.792
26,1326.952
27,1326.961
28,1326.961
29,1327.076
30,1327.177
31,1327.345
32,1327.374
33,1327.395
34,1327.584
35,1327.635
36,1327.656
37,1327.712
38,1327.820
39,1327.820
40,1327.941
41,1327.999
42,1328.364
43,1328.724
44,1328.797
45,1328.859
46,1328.876
47,1328.975
48,1329.051
49,1329.184
50,1329.285
51,1329.285
52,1329.518
53,1329.602
54,1329.652
55,1329.680
56,1329.759
57,1329.785
58,1329.973
59,1330.046
60,1330.099
61,1330.216
62,1330.216
63,1330.221
64,1330.363
65,1330.620
66,1331.256
67,1331.278
68,1331.677
69,1331.692
70,1331.956
71,1331.970
72,1332.078
73,1332.078
74,1332.594
75,1333.025
76,1333.188
77,1333.192
78,1333.283
79,1333.732
80,1333.798
81,1333.823
82,1333.934
83,1334.020
84,1334.020
85,1334.029
86,1334.094
87,1334.108
88,1334.112
89,1334.127
90,1334.351
91,1334.479
92,1334.766
93,1335.001
94,1335.008
95,1335.008
96,1335.278
97,1336.566
98,1337.830
99,1339.247
100,1339.247
