Percentage served,Time in ms
0,420.981
1,421.190
2,421.306
3,421.368
4,421.460
5,421.583
6,421.666
7,421.782
8,421.794
9,421.800
10,421.825
11,421.857
12,421.897
13,421.958
14,422.011
15,422.024
16,422.071
17,422.088
18,422.099
19,422.124
20,422.141
21,422.151
22,422.201
23,422.236
24,422.263
25,422.283
26,422.308
27,422.334
28,422.345
29,422.364
30,422.377
31,422.386
32,422.420
33,422.460
34,422.518
35,422.531
36,422.564
37,422.611
38,422.630
39,422.638
40,422.680
41,422.695
42,422.746
43,422.757
44,422.773
45,422.798
46,422.873
47,422.890
48,422.919
49,422.946
50,422.992
51,423.003
52,423.032
53,423.043
54,423.053
55,423.084
56,423.099
57,423.113
58,423.145
59,423.194
60,423.203
61,423.215
62,423.243
63,423.279
64,423.337
65,423.379
66,423.397
67,423.430
68,423.450
69,423.545
70,423.622
71,423.644
72,423.679
73,423.757
74,423.776
75,423.854
76,423.945
77,424.008
78,424.087
79,424.099
80,424.135
81,424.166
82,424.222
83,424.256
84,424.323
85,424.357
86,424.416
87,424.477
88,424.561
89,424.591
90,424.648
91,424.689
92,424.823
93,424.865
94,425.122
95,425.180
96,425.227
97,425.386
98,425.740
99,427.496
100,429.689
