Percentage served,Time in ms
0,1253.726
1,1254.097
2,1254.111
3,1254.476
4,1254.552
5,1254.705
6,1254.990
7,1255.179
8,1255.185
9,1255.219
10,1255.243
11,1255.328
12,1255.334
13,1255.334
14,1255.398
15,1255.592
16,1255.603
17,1255.664
18,1255.722
19,1255.737
20,1255.758
21,1255.780
22,1255.838
23,1255.902
24,1255.907
25,1256.084
26,1256.136
27,1256.254
28,1256.267
29,1256.321
30,1256.372
31,1256.398
32,1256.416
33,1256.575
34,1256.657
35,1256.803
36,1256.812
37,1256.828
38,1256.828
39,1256.862
40,1256.871
41,1257.245
42,1257.269
43,1257.378
44,1257.554
45,1257.644
46,1257.700
47,1257.893
48,1257.909
49,1258.062
50,1258.262
51,1258.281
52,1258.345
53,1258.614
54,1258.643
55,1258.644
56,1258.697
57,1258.759
58,1258.809
59,1259.120
60,1259.446
61,1259.513
62,1259.629
63,1259.629
64,1259.805
65,1259.820
66,1259.999
67,1260.117
68,1260.157
69,1260.159
70,1260.160
71,1260.181
72,1260.413
73,1260.619
74,1260.761
75,1260.811
76,1260.935
77,1260.962
78,1261.304
79,1261.346
80,1261.824
81,1261.897
82,1261.949
83,1262.096
84,1262.149
85,1262.396
86,1262.489
87,1262.919
88,1262.919
89,1262.922
90,1263.075
91,1263.108
92,1263.436
93,1263.611
94,1264.005
95,1264.098
96,1267.101
97,1295.291
98,1295.386
99,1295.667
100,1295.667
