Percentage served,Time in ms
0,349.640
1,349.772
2,350.060
3,350.096
4,350.207
5,350.283
6,350.299
7,350.343
8,350.347
9,350.374
10,350.410
11,350.437
12,350.460
13,350.475
14,350.516
15,350.533
16,350.564
17,350.575
18,350.586
19,350.604
20,350.608
21,350.623
22,350.634
23,350.649
24,350.656
25,350.658
26,350.691
27,350.696
28,350.733
29,350.764
30,350.792
31,350.818
32,350.832
33,350.861
34,350.868
35,350.891
36,350.914
37,350.933
38,350.954
39,350.969
40,350.977
41,351.012
42,351.026
43,351.037
44,351.046
45,351.065
46,351.077
47,351.098
48,351.109
49,351.114
50,351.164
51,351.185
52,351.247
53,351.269
54,351.280
55,351.292
56,351.307
57,351.318
58,351.335
59,351.360
60,351.386
61,351.393
62,351.412
63,351.432
64,351.436
65,351.489
66,351.502
67,351.511
68,351.570
69,351.624
70,351.660
71,351.716
72,351.728
73,351.765
74,351.775
75,351.815
76,351.836
77,351.888
78,351.927
79,351.972
80,352.042
81,352.142
82,352.170
83,352.191
84,352.235
85,352.303
86,352.335
87,352.364
88,352.394
89,352.435
90,352.572
91,352.633
92,352.654
93,352.750
94,352.831
95,352.880
96,352.966
97,353.308
98,353.595
99,355.071
100,357.193
